age,height_cm,weight_kg,sex
5,109,17,Male
10,137,31,Male
15,165,53,Male
20,169.5,63,Male
25,169.5,63,Male
30,170.5,65,Male
35,170.5,65,Male
40,170.5,66,Male
45,170.5,66,Male
50,168.5,65,Male
55,168.5,65,Male
60,166,63,Male
65,166,63,Male
70,164,61,Male
75,164,61,Male
80,164,61,Male
85,164,61,Male
90,164,61,Male
95,164,61,Male
5,108,16,Female
10,135,29,Female
15,159,48,Female
20,161.5,55,Female
25,162,56,Female
30,162,58,Female
35,162,59,Female
40,161,59,Female
45,161,59,Female
50,160,58,Female
55,159,57,Female
60,158,56,Female
65,157,56,Female
70,155,54,Female
75,154,53,Female
80,154,52,Female
85,153,51,Female
90,153,51,Female
95,152,50,Female
